Rounding result: 
  -1.52869396e-01+2.52147567e-02j  5.57842375e-02-2.75655610e-01j]
 [-8.09657021e-02+7.80466708e-02j -4.89727906e-02-1.71089333e-01j
  -1.77830339e-01+8.12681217e-02j  2.74491240e-01-5.21089097e-02j
   8.78377774e-02-1.80043011e-01j -1.19353339e-01-9.14156447e-02j
   1.48612237e-02-8.71072708e-03j -1.93345764e-01-1.45085637e-01j
   1.17284497e-01+4.00854600e-01j  6.06565964e-02+3.01034541e-01j
  -3.87795573e-01-1.87614114e-01j -8.53609839e-02-1.04386352e-01j
  -1.32264494e-01+7.19689143e-02j  1.26383162e-01+2.01319372e-01j
  -1.91495781e-01+1.96074353e-01j -2.47688263e-01+1.72577156e-01j]
 [-2.39268470e-01-7.41431133e-02j  2.12512095e-01-1.70185051e-01j
  -1.63574050e-03-1.05382283e-01j  1.67343483e-02-2.25263246e-01j
  -5.50399735e-02-3.03741928e-01j -1.16119577e-01+3.64825041e-01j
  -1.88990327e-01+1.97508094e-01j  1.68420330e-01-1.12232503e-01j
   9.67199457e-02-9.67853537e-02j -3.88482115e-01-1.44182096e-01j
  -5.56815250e-02+2.04764725e-01j -1.84733374e-01-1.47434286e-01j
   3.30879458e-03-3.18612868e-02j  6.75985006e-02+2.52724361e-02j
   7.75874638e-02+1.44928315e-01j -2.12340183e-01-2.71608918e-01j]
 [-1.09928973e-01+6.40731194e-02j  5.40037513e-02+1.65195388e-01j
  -1.63845570e-01-4.83717949e-02j  2.48755201e-01+3.13632960e-01j
  -2.97891247e-01-9.38176605e-03j -2.98974380e-01-9.62960103e-04j
   1.84763599e-01-1.39881497e-02j  7.43893174e-02-7.19974980e-02j
  -3.63233659e-02-1.02659266e-01j -9.47449380e-02-1.28291119e-01j
   2.05529846e-01+2.37750423e-01j  1.01433611e-01-2.53769041e-01j
  -5.02563966e-02-3.97008614e-02j  3.59085185e-01+1.78892461e-01j
  -8.90707308e-02-1.91359680e-01j -5.06683581e-03+3.47183975e-01j]
 [ 2.61700348e-01+2.77343079e-02j -1.71173016e-02-2.74454982e-02j
   6.71966243e-02-2.44418569e-02j  1.02367817e-01+2.46479351e-02j
  -3.77798995e-02+2.34596089e-01j  2.22142014e-02-4.78116489e-02j
  -2.36626821e-01-2.78264919e-01j  1.39290187e-01-1.95838546e-01j
   1.34366080e-01-2.06200763e-01j -3.17927245e-01+4.37792588e-02j
  -1.36205448e-01-9.67060044e-02j  3.97956804e-01-3.87411275e-02j
  -2.28575650e-02-1.34946538e-01j -6.34878779e-03-7.16269755e-02j
   2.85575275e-01+3.45310349e-01j -1.79920147e-01+2.33812943e-01j]
 [-2.55769484e-01-1.33443310e-01j -2.28940714e-01-1.76451626e-02j
   1.98184110e-01+4.32098879e-02j  3.24832843e-01-1.34477717e-01j
   4.68813679e-02+6.36220980e-02j  1.74025633e-01+2.23679215e-02j
  -1.21043091e-01+1.99332154e-01j -2.19080906e-02+1.63995340e-01j
   2.70662420e-02+1.61883314e-01j -9.58209111e-02-8.86222252e-02j
  -4.76948870e-02+7.59957617e-02j  1.93527207e-01+2.89774270e-01j
  -2.01435988e-01-5.25515644e-01j  1.50421350e-01-1.16358313e-01j
  -7.99292933e-02-1.99740269e-01j  1.74777636e-02+8.70011712e-02j]
 [ 1.01756063e-01+2.81565522e-02j -1.32499878e-01-8.38484352e-02j
  -3.05127476e-01-1.77721178e-01j  1.89354048e-02-1.56275350e-01j
   1.14456365e-01+9.31496785e-02j  1.30640639e-02-1.96351830e-01j
   1.54189432e-03-6.74518978e-03j  6.75374352e-02+3.10396068e-01j
  -2.43247486e-02+3.57196145e-03j -1.99671390e-01-2.78099026e-01j
  -7.44278413e-02-2.58068958e-01j -1.54656500e-01+1.10077387e-01j
  -1.43652827e-01+2.85053514e-01j  3.85902547e-01-7.84397585e-03j
   3.35819277e-01-2.27576349e-01j -1.05008086e-01-2.98011682e-02j]
 [ 1.66012009e-01-4.73989016e-01j  1.76372981e-01-5.14213847e-01j
   7.67225256e-02-9.26610904e-02j -1.35959819e-01-1.04353495e-01j
  -1.12619479e-01+8.89212846e-02j -4.51061116e-02-5.95522404e-02j
   1.60582148e-01-1.42459108e-01j -1.31705171e-01-9.94968313e-02j
   1.70050421e-01+2.31229910e-01j -5.17837634e-02+3.13973593e-03j
   1.56912622e-01+2.06340653e-01j  2.61848621e-01+7.17237431e-02j
  -1.01173011e-01+1.79690794e-01j  8.88561972e-02+8.36774855e-03j
  -9.98940201e-02-1.39152746e-01j  5.12416349e-02-2.15551998e-02j]
 [-3.03267593e-01-1.99940855e-01j  2.46559528e-01+1.88857714e-01j
   1.62640784e-01-6.03033039e-02j  5.72101923e-02+1.52416840e-01j
   1.74678844e-01-2.43863480e-01j  2.61417162e-01+1.06356124e-01j
  -5.44602637e-03-2.69790090e-01j  2.55865321e-01-8.45989374e-02j
   2.73533025e-01+5.77873726e-02j  4.01289311e-02+1.66319535e-01j
   1.38349057e-01-1.60720453e-01j -1.32606585e-01+2.14181595e-01j
  -8.14092284e-02+1.79579634e-01j  6.56421181e-02+7.04033740e-02j
   2.25695874e-01-6.99045014e-02j  1.16510337e-01+2.57923178e-01j]]
Final objective value: 
0.9330407579471965
Final objective value with norm: 
0.9330407579471965
Final penalty of max controllers: 
0.0
Infinity norm of continuous and binary controllers
6.0127696061735385
